   9025  32.33370-106.79410 1191.10   -0.002
   8929  32.36370-106.75110 1311.66    0.054
   8734  31.80160-106.30740 1215.28   -0.053
   8138  32.27730-106.90320 1317.95   -0.135
   8134  32.40040-106.34250 1228.21    0.056
   7830  32.40030-106.33340 1231.38    0.057
   6894  34.41830-106.84020 1446.10    0.064
   6646  31.76990-106.41220 1130.41   -0.046
   6645  31.77080-106.41410 1132.30   -0.043
   5670  32.29100-106.92220 1354.64   -0.124
   5315  33.68200-105.85240 1662.00    0.099
   4121  32.27740-106.76810 1183.10    0.030
   3950  32.32030-106.80820 1188.33   -0.029
   3122  31.89180-106.59610 1147.41    0.147
   2999  32.85990-105.99860 1278.33   -0.385
   2173  32.86170-107.28970 1276.86   -0.227
   2145  32.40090-106.36180 1219.70    0.051
   1347  32.84640-105.98220 1279.02   -0.364
   1301  33.23850-107.26550 1467.66   -0.128
    395  32.29890-106.80610 1186.99   -0.040
