  9025  32.3337 -106.7941 1191.10  -24.848   -0.192
  8929  32.3637 -106.7511 1311.66  -24.639   -0.201
  8734  31.8016 -106.3074 1215.28  -24.920   -0.200
  8138  32.2773 -106.9032 1317.95  -24.927   -0.223
  8134  32.4004 -106.3425 1228.21  -24.522   -0.218
  7830  32.4003 -106.3334 1231.38  -24.504   -0.216
  6894  34.4183 -106.8402 1446.10  -22.511   -0.299
  6646  31.7699 -106.4122 1130.41  -25.051   -0.189
  6645  31.7708 -106.4141 1132.30  -25.031   -0.189
  5670  32.2910 -106.9222 1354.64  -24.902   -0.218
  5315  33.6820 -105.8524 1662.00  -20.983   -0.267
  4121  32.2774 -106.7681 1183.10  -24.860   -0.190
  3950  32.3203 -106.8082 1188.33  -24.891   -0.199
  3122  31.8918 -106.5961 1147.41  -24.821   -0.159
  2999  32.8599 -105.9986 1278.33  -23.111   -0.239
  2173  32.8617 -107.2897 1276.86  -24.376   -0.224
  2145  32.4009 -106.3618 1219.70  -24.549   -0.221
  1347  32.8464 -105.9822 1279.02  -22.997   -0.243
  1301  33.2385 -107.2655 1467.66  -23.849   -0.271
   395  32.2989 -106.8061 1186.99  -24.930   -0.200
