   9025  32.3337-106.7941 1191.1    -0.040     0.070
   8929  32.3637-106.7511 1311.7     0.050     0.069
   8734  31.8016-106.3074 1215.3    -0.135     0.093
   8138  32.2773-106.9032 1318.0    -0.194     0.071
   8134  32.4004-106.3425 1228.2     0.018     0.068
   7830  32.4003-106.3334 1231.4     0.018     0.068
   6894  34.4183-106.8402 1446.1    -0.022     0.076
   6646  31.7699-106.4122 1130.4    -0.158     0.097
   6645  31.7708-106.4141 1132.3    -0.155     0.097
   5670  32.2910-106.9222 1354.6    -0.176     0.071
   5315  33.6820-105.8524 1662.0     0.011     0.069
   4121  32.2774-106.7681 1183.1    -0.017     0.071
   3950  32.3203-106.8082 1188.3    -0.081     0.070
   3122  31.8918-106.5961 1147.4     0.074     0.086
   2999  32.8599-105.9986 1278.3    -0.418     0.067
   2173  32.8617-107.2897 1276.9    -0.252     0.072
   2145  32.4009-106.3618 1219.7     0.019     0.068
   1347  32.8464-105.9822 1279.0    -0.404     0.067
   1301  33.2385-107.2655 1467.7    -0.204     0.071
    395  32.2989-106.8061 1187.0    -0.092     0.070
